cal,date,name
HK,2022-09-12,中秋節後第二日
HK,2022-10-01,國慶日
HK,2022-10-04,重陽節
HK,2022-12-25,聖誕節
HK,2022-12-26,聖誕節（補假）
HK,2023-01-01,一月一日
HK,2023-01-02,一月一日（補假）
HK,2023-01-23,農曆年初二
HK,2023-01-24,農曆年初三
HK,2023-01-25,農曆年初四
HK,2023-04-05,清明節
HK,2023-05-01,勞動節
HK,2023-05-26,佛誕
HK,2023-06-22,端午節
HK,2023-07-01,香港特別行政區成立紀念日
HK,2023-09-30,中秋節翌日
HK,2023-10-01,國慶日
HK,2023-10-02,國慶日（補假）
HK,2023-10-23,重陽節
HK,2023-12-25,聖誕節
HK,2024-01-01,一月一日
HK,2024-02-10,農曆年初一
HK,2024-02-12,農曆年初三
HK,2024-02-13,農曆年初四
HK,2024-04-04,清明節
HK,2024-05-01,勞動節
HK,2024-05-15,佛誕
HK,2024-06-10,端午節
HK,2024-07-01,香港特別行政區成立紀念日
HK,2024-09-18,中秋節翌日
HK,2024-10-01,國慶日
HK,2024-10-11,重陽節
HK,2024-12-25,聖誕節
HK,2024-12-26,聖誕節後第一個周日
HK,2025-01-01,一月一日
HK,2025-01-29,農曆年初一
HK,2025-01-30,農曆年初二
HK,2025-01-31,農曆年初三
HK,2025-04-04,清明節
HK,2025-05-01,勞動節
HK,2025-05-05,佛誕
HK,2025-05-31,端午節
HK,2025-07-01,香港特別行政區成立紀念日
HK,2025-10-01,國慶日
HK,2025-10-07,中秋節翌日
HK,2025-10-29,重陽節
HK,2025-12-25,聖誕節
HK,2025-12-26,聖誕節後第一個周日
HK,2026-01-01,一月一日
HK,2026-02-17,農曆年初一
HK,2026-02-18,農曆年初二
HK,2026-02-19,農曆年初三
HK,2026-04-05,清明節
HK,2026-04-06,復活節星期一
HK,2026-04-07,清明節（補假）
HK,2026-05-01,勞動節
HK,2026-05-24,佛誕
HK,2026-05-25,佛誕（補假）
HK,2026-06-19,端午節
HK,2026-07-01,香港特別行政區成立紀念日
HK,2026-09-26,中秋節翌日
HK,2026-10-01,國慶日
HK,2026-10-18,重陽節
HK,2026-10-19,重陽節（補假）
HK,2026-12-25,聖誕節
HK,2026-12-26,聖誕節後第一個周日
HK,2027-01-01,一月一日
HK,2027-02-06,農曆年初一
HK,2027-02-08,農曆年初三
HK,2027-02-09,農曆年初四
HK,2027-03-29,復活節星期一
HK,2027-04-05,清明節
HK,2027-05-01,勞動節
HK,2027-05-13,佛誕
HK,2027-06-09,端午節
HK,2027-07-01,香港特別行政區成立紀念日
HK,2027-09-16,中秋節翌日
HK,2027-10-01,國慶日
HK,2027-10-08,重陽節
HK,2027-12-25,聖誕節
HK,2027-12-26,聖誕節後第一個周日
HK,2027-12-27,聖誕節後第一個周日（補假）
