cell,family,symbol,known,plus_in,n_in,rate_in,p_binom,cum_in_pct,mean_m_in_pct,plus_oos,n_oos,cum_oos_pct,worst_m_in_pct,maxdd_in_pct,sig_005,sig_bonf
Wed EURCAD,Wed,EURCAD,False,28,48,58,0.15616340373663462,5.7,0.12,5,12,-2.35,-1.56,-4.58,False,False
ThuS EURUSD,ThuS,EURUSD,False,28,48,58,0.15616340373663462,4.9,0.11,7,12,0.59,-5.28,-7.02,False,False
Tue BTCUSD,Tue,BTCUSD,False,28,48,58,0.15616340373663462,-6.1,0.06,5,12,-23.89,-17.96,-37.27,False,False
Tue GBPCAD,Tue,GBPCAD,False,28,48,58,0.15616340373663462,2.7,0.06,4,12,-4.14,-1.53,-4.85,False,False
Tue NZDJPY,Tue,NZDJPY,False,28,48,58,0.15616340373663462,1.0,0.03,7,12,0.22,-4.24,-10.14,False,False
Tue CADJPY,Tue,CADJPY,False,28,48,58,0.15616340373663462,1.1,0.03,7,12,2.8,-3.83,-12.22,False,False
Wed EURGBP,Wed,EURGBP,False,28,48,58,0.15616340373663462,1.0,0.02,3,12,-3.17,-1.39,-2.47,False,False
FriS EURGBP,FriS,EURGBP,False,28,48,58,0.15616340373663462,-0.4,-0.0,10,12,2.43,-2.95,-7.11,False,False
MonS ETHUSD,MonS,ETHUSD,False,28,48,58,0.15616340373663462,-18.5,-0.16,5,12,-23.57,-18.8,-50.37,False,False
Hold BTCUSD,Hold,BTCUSD,True,27,48,56,0.2354395068108559,154.3,3.3,4,12,-33.04,-37.8,-76.77,False,False
Hold JP225,Hold,JP225,True,27,48,56,0.2354395068108559,48.9,0.92,8,12,41.61,-7.72,-26.59,False,False
FriS NATGAS,FriS,NATGAS,False,27,48,56,0.2354395068108559,10.5,0.66,6,12,-25.93,-21.27,-32.41,False,False
FriS ETHUSD,FriS,ETHUSD,False,27,48,56,0.2354395068108559,13.8,0.48,7,12,10.9,-11.49,-27.82,False,False
Thu WTI,Thu,WTI,False,27,48,56,0.2354395068108559,19.7,0.44,7,12,34.48,-7.18,-17.47,False,False
Thu JP225,Thu,JP225,False,27,48,56,0.2354395068108559,19.2,0.41,5,12,-1.85,-5.56,-11.85,False,False
Hold AUS200,Hold,AUS200,False,27,48,56,0.2354395068108559,17.8,0.41,9,12,-1.81,-8.96,-15.45,False,False
Hold CADJPY,Hold,CADJPY,False,27,48,56,0.2354395068108559,18.8,0.4,8,12,3.95,-6.07,-14.6,False,False
