cell,family,symbol,known,plus_in,n_in,rate_in,p_binom,cum_in_pct,mean_m_in_pct,plus_oos,n_oos,cum_oos_pct,worst_m_in_pct,maxdd_in_pct,sig_005,sig_bonf
Thu NZDUSD,Thu,NZDUSD,False,20,48,42,0.9032936735690313,-6.2,-0.12,4,12,-2.43,-2.39,-8.46,False,False
WedS EURCAD,WedS,EURCAD,False,20,48,42,0.9032936735690313,-5.7,-0.12,7,12,2.38,-1.58,-12.53,False,False
Fri AUDNZD,Fri,AUDNZD,False,20,48,42,0.9032936735690313,-6.7,-0.14,6,12,-0.24,-1.26,-7.82,False,False
FriS CHFJPY,FriS,CHFJPY,False,20,48,42,0.9032936735690313,-7.6,-0.16,7,12,-0.39,-2.67,-11.01,False,False
Fri EURCHF,Fri,EURCHF,False,20,48,42,0.9032936735690313,-9.9,-0.21,5,12,-2.4,-2.58,-9.99,False,False
Thu GBPCHF,Thu,GBPCHF,False,20,48,42,0.9032936735690313,-9.8,-0.21,3,12,-4.25,-3.75,-11.28,False,False
TueS AUS200,TueS,AUS200,False,20,48,42,0.9032936735690313,-10.7,-0.22,4,12,-2.09,-4.65,-16.66,False,False
Wed GBPCHF,Wed,GBPCHF,False,20,48,42,0.9032936735690313,-11.6,-0.25,8,12,1.27,-2.13,-12.51,False,False
Thu NZDJPY,Thu,NZDJPY,False,20,48,42,0.9032936735690313,-12.1,-0.26,5,12,-4.61,-2.78,-16.33,False,False
Fri GBPCHF,Fri,GBPCHF,False,20,48,42,0.9032936735690313,-12.6,-0.27,6,12,-0.95,-3.25,-13.52,False,False
Hold USDCHF,Hold,USDCHF,False,20,48,42,0.9032936735690313,-16.7,-0.35,7,12,1.4,-6.57,-23.76,False,False
MonS NZDJPY,MonS,NZDJPY,False,20,48,42,0.9032936735690313,-16.2,-0.36,4,12,-3.43,-3.4,-17.26,False,False
Fri HK50,Fri,HK50,False,20,48,42,0.9032936735690313,-18.6,-0.37,6,12,-10.13,-9.73,-33.84,False,False
ThuS WTI,ThuS,WTI,False,20,48,42,0.9032936735690313,-22.9,-0.48,5,12,-30.2,-8.02,-28.02,False,False
Hold AUDCHF,Hold,AUDCHF,False,20,48,42,0.9032936735690313,-23.6,-0.53,8,12,10.27,-5.08,-30.0,False,False
Fri ETHUSD,Fri,ETHUSD,False,20,48,42,0.9032936735690313,-35.6,-0.7,5,12,-16.97,-15.43,-54.6,False,False
Fri NATGAS,Fri,NATGAS,False,20,48,42,0.9032936735690313,-46.2,-0.85,6,12,20.88,-16.1,-52.55,False,False
Thu ETHUSD,Thu,ETHUSD,False,20,48,42,0.9032936735690313,-47.8,-0.99,2,12,-53.38,-14.23,-56.43,False,False
Thu NATGAS,Thu,NATGAS,False,20,48,42,0.9032936735690313,-74.4,-2.47,4,12,-20.8,-20.98,-75.88,False,False
MonS HK50,MonS,HK50,False,19,48,40,0.9442985544694906,-1.3,0.01,3,12,-13.73,-5.78,-18.82,False,False
TueS BTCUSD,TueS,BTCUSD,False,19,48,40,0.9442985544694906,-8.7,-0.0,7,12,27.58,-11.94,-42.18,False,False
FriS USDCAD,FriS,USDCAD,False,19,48,40,0.9442985544694906,-3.4,-0.07,6,12,0.08,-2.4,-6.74,False,False
Thu EURGBP,Thu,EURGBP,False,19,48,40,0.9442985544694906,-4.7,-0.1,7,12,1.29,-1.78,-8.47,False,False
Tue AUDNZD,Tue,AUDNZD,False,19,48,40,0.9442985544694906,-4.7,-0.1,8,12,4.43,-1.48,-8.89,False,False
Mon ETHUSD,Mon,ETHUSD,True,19,48,40,0.9442985544694906,-16.5,-0.11,6,12,24.49,-16.71,-39.49,False,False
Mon USDCHF,Mon,USDCHF,False,19,48,40,0.9442985544694906,-5.9,-0.12,6,12,-1.4,-2.03,-9.58,False,False
TueS CHFJPY,TueS,CHFJPY,False,19,48,40,0.9442985544694906,-6.7,-0.14,4,12,-1.75,-2.22,-8.81,False,False
TueS GBPJPY,TueS,GBPJPY,False,19,48,40,0.9442985544694906,-8.3,-0.17,7,12,0.3,-1.98,-9.13,False,False
Tue EURGBP,Tue,EURGBP,False,19,48,40,0.9442985544694906,-9.2,-0.2,7,12,2.29,-1.63,-9.48,False,False
Tue AUDCHF,Tue,AUDCHF,False,19,48,40,0.9442985544694906,-11.9,-0.26,8,12,2.41,-3.48,-18.34,False,False
Fri GBPUSD,Fri,GBPUSD,False,19,48,40,0.9442985544694906,-13.8,-0.3,4,12,-3.31,-4.34,-16.81,False,False
MonS CHFJPY,MonS,CHFJPY,False,19,48,40,0.9442985544694906,-15.9,-0.36,5,12,0.9,-2.59,-17.14,False,False
Fri US2000,Fri,US2000,False,19,48,40,0.9442985544694906,-17.5,-0.38,6,12,-2.99,-5.23,-23.83,False,False
MonS US500,MonS,US500,False,19,48,40,0.9442985544694906,-21.4,-0.49,6,11,-1.33,-6.05,-24.55,False,False
MonS NATGAS,MonS,NATGAS,False,19,48,40,0.9442985544694906,-34.1,-0.55,7,11,56.07,-16.16,-55.17,False,False
Tue WTI,Tue,WTI,False,19,48,40,0.9442985544694906,-31.4,-0.69,5,12,-10.45,-14.0,-50.29,False,False
Thu EURCAD,Thu,EURCAD,False,18,48,38,0.9702683123731148,-2.4,-0.05,5,12,0.45,-1.81,-8.18,False,False
TueS GER40,TueS,GER40,False,18,48,38,0.9702683123731148,-5.4,-0.09,4,12,-10.72,-6.14,-16.61,False,False
Tue EURUSD,Tue,EURUSD,False,18,48,38,0.9702683123731148,-8.6,-0.18,5,12,1.33,-2.93,-9.38,False,False
Thu AUDCHF,Thu,AUDCHF,False,18,48,38,0.9702683123731148,-9.0,-0.19,4,12,-5.7,-3.18,-11.38,False,False
Thu EURCHF,Thu,EURCHF,False,18,48,38,0.9702683123731148,-9.9,-0.22,2,12,-2.19,-2.49,-10.89,False,False
Tue NZDUSD,Tue,NZDUSD,False,18,48,38,0.9702683123731148,-10.9,-0.23,4,12,-1.65,-5.22,-13.65,False,False
WedS NAS100,WedS,NAS100,False,18,48,38,0.9702683123731148,-17.3,-0.34,6,12,3.97,-8.99,-30.32,False,False
MonS CADJPY,MonS,CADJPY,False,18,48,38,0.9702683123731148,-16.1,-0.36,5,12,1.67,-2.89,-17.51,False,False
MonS AUDJPY,MonS,AUDJPY,False,18,48,38,0.9702683123731148,-19.7,-0.45,3,12,-5.56,-2.55,-19.88,False,False
Wed WTI,Wed,WTI,False,18,48,38,0.9702683123731148,-43.9,-1.12,8,12,11.24,-9.93,-47.15,False,False
Fri AUDUSD,Fri,AUDUSD,False,17,48,35,0.9853475266397353,-8.7,-0.16,6,12,-3.99,-4.35,-15.31,False,False
Fri EURUSD,Fri,EURUSD,False,17,48,35,0.9853475266397353,-9.5,-0.2,2,12,-4.78,-3.28,-13.21,False,False
Wed AUDCHF,Wed,AUDCHF,False,17,48,35,0.9853475266397353,-12.3,-0.27,7,12,1.39,-2.43,-17.67,False,False
Fri AUDCAD,Fri,AUDCAD,False,17,48,35,0.9853475266397353,-14.4,-0.32,6,12,-3.2,-3.91,-15.43,False,False
Wed USDCHF,Wed,USDCHF,False,17,48,35,0.9853475266397353,-15.6,-0.35,7,12,0.84,-2.6,-19.12,False,False
MonS NAS100,MonS,NAS100,False,17,48,35,0.9853475266397353,-35.6,-0.88,6,11,-0.16,-7.77,-36.55,False,False
Thu BTCUSD,Thu,BTCUSD,False,17,48,35,0.9853475266397353,-53.9,-1.46,3,12,-31.42,-13.55,-52.49,False,False
MonS USDJPY,MonS,USDJPY,False,16,48,33,0.9933583592188775,-14.6,-0.32,5,12,1.15,-2.82,-16.91,False,False
Fri NZDCAD,Fri,NZDCAD,False,16,48,33,0.9933583592188775,-15.0,-0.33,6,12,-3.78,-3.4,-15.26,False,False
MonS EURJPY,MonS,EURJPY,False,16,48,33,0.9933583592188775,-16.8,-0.38,4,12,-1.37,-2.68,-18.18,False,False
Fri AUDCHF,Fri,AUDCHF,False,16,48,33,0.9933583592188775,-21.7,-0.5,6,12,-1.73,-5.77,-21.94,False,False
Hold CADCHF,Hold,CADCHF,False,16,48,33,0.9933583592188775,-23.6,-0.54,7,12,1.92,-4.22,-28.1,False,False
ThuS XAUUSD,ThuS,XAUUSD,False,16,48,33,0.9933583592188775,-33.5,-0.83,7,12,0.68,-4.88,-34.0,False,False
Tue CADCHF,Tue,CADCHF,False,15,48,31,0.9972423992572494,-9.5,-0.21,6,12,-0.25,-1.68,-12.77,False,False
MonS GBPJPY,MonS,GBPJPY,False,15,48,31,0.9972423992572494,-21.4,-0.5,2,12,-5.44,-2.77,-21.5,False,False
Wed CADCHF,Wed,CADCHF,False,14,48,29,0.9989559463330018,-16.3,-0.37,6,12,-0.2,-2.55,-18.87,False,False
Fri NZDUSD,Fri,NZDUSD,False,14,48,29,0.9989559463330018,-20.0,-0.45,5,12,-4.87,-3.83,-21.57,False,False
Mon EURGBP,Mon,EURGBP,False,12,48,25,0.9998888775186892,-9.0,-0.19,1,12,-5.18,-1.34,-9.45,False,False
