cell,family,symbol,plus_in,n_in,rate_in,p_binom,mean_m_in_pct,cum_in_pct,worst_m_in_pct,plus_oos,n_oos,cum_oos_pct,sig_bonf,sig_005
TOM NAS100,TOM,NAS100,30,48,62,0.055701445530509375,0.03,-0.8,-9.49,7,11,8.08,False,False
Frix2 HK50,Frix2,HK50,30,48,62,0.055701445530509375,-0.16,-12.1,-12.56,7,12,7.79,False,False
WedSx2 NATGAS,WedSx2,NATGAS,29,48,60,0.09670632643096866,1.24,26.5,-19.63,5,12,-15.02,False,False
Tuex2 ETHUSD,Tuex2,ETHUSD,29,48,60,0.09670632643096866,1.09,28.2,-22.1,6,12,-21.09,False,False
WedS WTI,WedS,WTI,29,48,60,0.09670632643096866,1.03,57.4,-8.06,4,12,-14.84,False,False
Thux3 JP225,Thux3,JP225,29,48,60,0.09670632643096866,1.0,55.0,-7.88,9,12,34.46,False,False
TOMS WTI,TOMS,WTI,29,48,60,0.09670632643096866,0.99,47.0,-15.64,4,11,-29.85,False,False
Monx2 NATGAS,Monx2,NATGAS,29,48,60,0.09670632643096866,0.73,13.5,-22.73,6,11,-34.62,False,False
Frix3 JP225,Frix3,JP225,29,48,60,0.09670632643096866,0.69,35.5,-6.32,7,12,28.89,False,False
TOM XAUUSD,TOM,XAUUSD,29,48,60,0.09670632643096866,0.65,35.3,-4.05,7,11,5.25,False,False
TueS WTI,TueS,WTI,29,48,60,0.09670632643096866,0.63,29.2,-8.85,7,12,7.73,False,False
Monx3 AUDJPY,Monx3,AUDJPY,29,48,60,0.09670632643096866,0.54,28.2,-7.48,10,12,17.09,False,False
Frix2 NAS100,Frix2,NAS100,29,48,60,0.09670632643096866,0.52,25.4,-6.15,7,12,11.21,False,False
ThuSx2 AUDCHF,ThuSx2,AUDCHF,29,48,60,0.09670632643096866,0.52,27.2,-2.8,7,12,6.32,False,False
WedSx2 USDCHF,WedSx2,USDCHF,29,48,60,0.09670632643096866,0.46,23.7,-2.84,6,12,0.15,False,False
ThuSx2 NZDUSD,ThuSx2,NZDUSD,29,48,60,0.09670632643096866,0.46,23.6,-4.65,8,12,5.35,False,False
WedSx3 NZDUSD,WedSx3,NZDUSD,29,48,60,0.09670632643096866,0.45,22.2,-7.2,7,12,5.81,False,False
Tuex2 XAUUSD,Tuex2,XAUUSD,29,48,60,0.09670632643096866,0.42,20.5,-5.41,9,12,23.36,False,False
Wed NAS100,Wed,NAS100,29,48,60,0.09670632643096866,0.34,14.4,-10.93,6,12,-4.39,False,False
FriSx2 AUDUSD,FriSx2,AUDUSD,29,48,60,0.09670632643096866,0.33,15.9,-3.39,4,12,-3.11,False,False
Thux3 EURJPY,Thux3,EURJPY,29,48,60,0.09670632643096866,0.32,15.8,-4.74,7,12,-0.64,False,False
WedSx2 AUDCHF,WedSx2,AUDCHF,29,48,60,0.09670632643096866,0.32,16.0,-3.3,9,12,2.07,False,False
FriS GBPUSD,FriS,GBPUSD,29,48,60,0.09670632643096866,0.3,15.1,-2.38,8,12,3.34,False,False
FriSx3 NZDCAD,FriSx3,NZDCAD,29,48,60,0.09670632643096866,0.29,13.9,-4.36,8,12,1.12,False,False
TueS AUDCHF,TueS,AUDCHF,29,48,60,0.09670632643096866,0.26,12.7,-2.67,4,12,-2.45,False,False
TOM US30,TOM,US30,29,48,60,0.09670632643096866,0.22,10.1,-5.11,8,11,13.2,False,False
TueS EURGBP,TueS,EURGBP,29,48,60,0.09670632643096866,0.2,9.9,-1.4,5,12,-2.26,False,False
Wedx3 US500,Wedx3,US500,29,48,60,0.09670632643096866,0.19,6.0,-9.19,6,12,-3.12,False,False
Frix3 EURAUD,Frix3,EURAUD,29,48,60,0.09670632643096866,0.19,9.0,-3.26,1,12,-8.95,False,False
