event,symbol,side,is_plus,is_n,is_rate,is_mean_bps,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
祝日前営業日,NZDJPY,S,1,1,1.0,29.4,0.5,1,1,18.5,0,,False
第3金曜,US500,S,19,38,0.5,3.0,0.564292660317733,8,17,-16.9,68,0.515,False
月末最終営業日,AUDJPY,L,19,39,0.487,-3.9,0.6253706876195793,9,18,8.8,69,0.478,False
第3金曜,GBPUSD,L,19,39,0.487,0.8,0.6253706876195793,6,18,-18.3,69,0.449,False
第3金曜,GBPUSD,S,19,39,0.487,-4.0,0.6253706876195793,12,18,15.3,69,0.507,False
第3金曜,GBPJPY,L,19,39,0.487,5.4,0.6253706876195793,7,18,-1.4,69,0.348,False
月末最終営業日,USDJPY,L,19,39,0.487,-2.5,0.6253706876195793,13,18,10.5,69,0.609,False
月末最終営業日,NZDJPY,S,19,39,0.487,-0.6,0.6253706876195793,9,18,-7.4,69,0.464,False
第3金曜,CHFJPY,S,19,39,0.487,-5.4,0.6253706876195793,10,18,-10.1,69,0.522,False
祝日前営業日,US500,S,12,26,0.462,-15.2,0.7214014530181885,3,13,-7.4,40,0.45,False
月末最終営業日,CHFJPY,L,18,39,0.462,-11.9,0.7388013097515795,11,18,9.2,69,0.551,False
月末最終営業日,CADJPY,S,18,39,0.462,-3.3,0.7388013097515795,7,18,-6.9,69,0.42,False
月末最終営業日,GBPJPY,L,18,39,0.462,-8.7,0.7388013097515795,8,18,-4.4,69,0.652,False
第3金曜,CADJPY,S,17,39,0.436,-5.6,0.8316081824050343,8,18,-13.3,69,0.652,False
月末最終営業日,EURUSD,L,17,39,0.436,-13.3,0.8316081824050343,7,18,-12.5,69,0.435,False
第3金曜,USDJPY,S,17,39,0.436,-4.6,0.8316081824050343,7,18,-18.3,69,0.493,False
月末最終営業日,AUDUSD,L,17,39,0.436,-4.1,0.8316081824050343,9,18,-4.2,69,0.42,False
第3金曜,AUDUSD,S,17,39,0.436,-9.2,0.8316081824050343,11,18,16.3,69,0.623,False
月末最終営業日,US500,S,17,39,0.436,-10.6,0.8316081824050343,9,18,-16.9,69,0.406,False
月末最終営業日,NAS100,S,17,39,0.436,-20.7,0.8316081824050343,10,18,-3.8,69,0.391,False
第3金曜,US500,L,16,38,0.421,-9.0,0.8720624602283351,9,17,10.9,68,0.426,False
第3金曜,EURJPY,S,16,39,0.41,-7.8,0.9002045665401965,9,18,-8.2,69,0.536,False
第3金曜,AUDJPY,S,16,39,0.41,-12.1,0.9002045665401965,11,18,0.4,69,0.594,False
月末最終営業日,GBPUSD,L,16,39,0.41,-7.8,0.9002045665401965,7,18,-16.2,69,0.58,False
祝日前営業日,NAS100,L,10,26,0.385,4.5,0.9156812280416489,8,13,0.2,40,0.525,False
第3金曜,NAS100,L,15,38,0.395,-17.4,0.928346672852058,9,17,21.5,68,0.471,False
第3金曜,EURUSD,S,15,39,0.385,-3.8,0.9459354892969714,13,18,8.1,69,0.507,False
第3金曜,NZDJPY,S,15,39,0.385,-18.7,0.9459354892969714,9,18,-0.7,69,0.536,False
月末最終営業日,EURJPY,L,14,39,0.359,-13.0,0.9733740429510362,10,18,-0.6,69,0.551,False
祝日翌営業日,NAS100,L,8,26,0.308,-29.0,0.9855203628540039,5,13,-18.6,40,0.6,False
祝日翌営業日,US500,L,6,26,0.231,-31.1,0.9987530410289764,6,13,-4.9,40,0.475,False
祝日翌営業日,EURUSD,S,0,0,,,1.0,3,3,40.4,0,,False
祝日翌営業日,NZDJPY,L,0,0,,,1.0,1,3,-9.4,0,,False
祝日前営業日,NZDJPY,L,0,1,0.0,-33.9,1.0,0,1,-22.9,0,,False
祝日翌営業日,NZDJPY,S,0,0,,,1.0,2,3,4.9,0,,False
祝日前営業日,CHFJPY,L,0,1,0.0,-5.2,1.0,1,1,7.8,0,,False
祝日翌営業日,CHFJPY,L,0,0,,,1.0,1,3,-23.5,0,,False
祝日翌営業日,EURUSD,L,0,0,,,1.0,0,3,-43.9,0,,False
祝日前営業日,EURUSD,L,0,1,0.0,-54.1,1.0,0,1,-4.7,0,,False
祝日翌営業日,CADJPY,S,0,0,,,1.0,2,3,10.0,0,,False
祝日前営業日,CADJPY,S,0,1,0.0,-28.8,1.0,0,1,-10.9,0,,False
祝日翌営業日,AUDJPY,L,0,0,,,1.0,2,3,10.4,0,,False
祝日翌営業日,USDJPY,S,0,0,,,1.0,1,3,-0.8,0,,False
祝日前営業日,USDJPY,S,0,1,0.0,-47.4,1.0,0,1,-13.3,0,,False
祝日翌営業日,USDJPY,L,0,0,,,1.0,2,3,-1.7,0,,False
祝日翌営業日,EURJPY,L,0,0,,,1.0,1,3,-43.1,0,,False
祝日前営業日,EURJPY,L,0,1,0.0,-9.2,1.0,1,1,10.2,0,,False
祝日翌営業日,AUDJPY,S,0,0,,,1.0,1,3,-14.3,0,,False
祝日前営業日,AUDJPY,S,0,1,0.0,-5.5,1.0,0,1,-5.3,0,,False
祝日前営業日,GBPJPY,S,0,1,0.0,-21.6,1.0,0,1,-15.1,0,,False
祝日翌営業日,GBPJPY,S,0,0,,,1.0,2,3,46.0,0,,False
祝日翌営業日,EURJPY,S,0,0,,,1.0,2,3,40.8,0,,False
祝日翌営業日,GBPJPY,L,0,0,,,1.0,1,3,-48.0,0,,False
祝日翌営業日,CADJPY,L,0,0,,,1.0,1,3,-13.6,0,,False
祝日翌営業日,CHFJPY,S,0,0,,,1.0,1,3,21.4,0,,False
祝日翌営業日,AUDUSD,L,0,0,,,1.0,3,3,8.4,0,,False
祝日前営業日,AUDUSD,L,0,1,0.0,-39.6,1.0,0,1,-14.7,0,,False
祝日前営業日,GBPUSD,L,0,1,0.0,-23.9,1.0,0,1,-1.4,0,,False
祝日翌営業日,GBPUSD,S,0,0,,,1.0,3,3,46.3,0,,False
祝日翌営業日,AUDUSD,S,0,0,,,1.0,0,3,-14.6,0,,False
祝日翌営業日,GBPUSD,L,0,0,,,1.0,0,3,-49.4,0,,False
