event,symbol,window,side,is_n,is_plus,is_rate,is_mean_bps,p,oos_n,oos_plus,oos_mean_bps,pre_n,pre_rate,passed
FOMC,CHFJPY,前日,L,26,11,0.423,-22.6,0.8365302085876465,9,2,-17.46,45,0.422,False
FOMC,CHFJPY,当日,L,26,11,0.423,-10.75,0.8365302085876465,8,6,21.44,45,0.467,False
FOMC,NZDUSD,当日,S,26,11,0.423,-15.55,0.8365302085876465,13,7,10.14,45,0.422,False
FOMC,NZDUSD,前日,S,26,11,0.423,-27.17,0.8365302085876465,14,9,13.49,45,0.378,False
FOMC,USDCHF,前日,L,26,11,0.423,-14.95,0.8365302085876465,14,10,8.91,45,0.4,False
BoJ,AUDUSD,前日,L,26,11,0.423,-14.9,0.8365302085876465,13,7,1.93,45,0.467,False
CPI,EURGBP,当日,L,37,16,0.432,-3.34,0.8379956999560818,10,6,10.67,55,0.491,False
CPI,EURJPY,当日,L,37,16,0.432,-25.3,0.8379956999560818,16,9,-2.98,55,0.4,False
CPI,EURJPY,翌日,S,27,11,0.407,-6.79,0.8761057183146477,13,7,5.56,39,0.538,False
CPI,USDJPY,翌日,S,27,11,0.407,-5.2,0.8761057183146477,13,7,3.21,39,0.462,False
CPI,EURUSD,翌日,L,27,11,0.407,-0.9,0.8761057183146477,13,6,-4.79,39,0.333,False
CPI,EURGBP,翌日,S,27,11,0.407,-8.96,0.8761057183146477,7,4,-1.98,39,0.436,False
CPI,NZDUSD,翌日,S,27,11,0.407,-4.11,0.8761057183146477,13,6,-0.73,39,0.513,False
NFP,CHFJPY,前日,L,36,15,0.417,-2.64,0.8785075229825452,10,6,16.51,64,0.531,False
NFP,GBPUSD,前日,S,36,15,0.417,-2.27,0.8785075229825452,17,9,2.24,64,0.562,False
NFP,EURUSD,前日,S,36,15,0.417,-6.37,0.8785075229825452,17,7,-2.94,64,0.5,False
NFP,XAUUSD,前日,L,36,15,0.417,-2.12,0.8785075229825452,10,5,-3.36,9,0.333,False
NFP,USDCHF,前日,L,36,15,0.417,-8.55,0.8785075229825452,17,9,-8.0,64,0.516,False
NFP,USDJPY,前日,L,36,15,0.417,-8.19,0.8785075229825452,17,10,-0.12,64,0.453,False
FOMC,NZDUSD,翌日,L,25,10,0.4,-21.17,0.885238528251648,13,4,-22.44,43,0.349,False
FOMC,CHFJPY,翌日,S,25,10,0.4,-15.0,0.885238528251648,8,4,12.24,43,0.442,False
FOMC,AUDUSD,翌日,L,25,10,0.4,-25.58,0.885238528251648,13,4,-18.82,43,0.372,False
FOMC,USDJPY,翌日,S,25,10,0.4,-19.12,0.885238528251648,13,4,-8.69,43,0.419,False
FOMC,EURUSD,翌日,L,25,10,0.4,-11.42,0.885238528251648,13,6,-4.75,43,0.488,False
CPI,CHFJPY,当日,L,37,15,0.405,-21.2,0.9061292205005884,10,6,5.47,55,0.455,False
BoJ,EURGBP,翌日,L,14,5,0.357,11.51,0.91021728515625,5,2,5.02,34,0.353,False
BoJ,GBPUSD,翌日,S,14,5,0.357,17.3,0.91021728515625,8,7,22.42,34,0.382,False
BoJ,USDCHF,翌日,L,14,5,0.357,-21.95,0.91021728515625,8,5,6.19,34,0.353,False
BoJ,EURUSD,翌日,S,14,5,0.357,0.77,0.91021728515625,8,5,7.43,34,0.412,False
BoJ,NZDUSD,翌日,L,14,5,0.357,-9.17,0.91021728515625,8,2,-35.82,34,0.471,False
BoJ,NZDUSD,前日,S,26,10,0.385,-0.63,0.9156812280416489,13,6,-11.54,45,0.378,False
BoJ,XAUUSD,当日,S,26,10,0.385,-26.58,0.9156812280416489,8,3,-52.34,6,0.833,False
BoJ,EURJPY,前日,S,26,10,0.385,-4.9,0.9156812280416489,13,5,0.99,45,0.578,False
CPI,CHFJPY,翌日,S,27,10,0.37,-6.7,0.9389609396457672,7,5,12.1,39,0.641,False
CPI,AUDUSD,翌日,S,27,10,0.37,-8.98,0.9389609396457672,13,7,7.7,39,0.538,False
FOMC,USDCHF,翌日,S,25,9,0.36,-6.93,0.9461239278316498,13,4,-13.01,43,0.488,False
FOMC,EURGBP,翌日,S,25,9,0.36,-14.13,0.9461239278316498,8,3,-20.79,43,0.326,False
CPI,EURUSD,当日,L,37,14,0.378,-8.28,0.9505641252035275,16,8,24.25,55,0.545,False
FOMC,EURGBP,当日,S,26,9,0.346,-28.24,0.9622406512498856,8,4,-1.39,45,0.489,False
FOMC,EURJPY,当日,L,26,9,0.346,-24.14,0.9622406512498856,13,6,-27.91,45,0.4,False
FOMC,XAUUSD,当日,S,26,9,0.346,-38.7,0.9622406512498856,9,5,-3.69,6,0.667,False
FOMC,USDJPY,当日,L,26,9,0.346,-27.12,0.9622406512498856,13,6,-18.58,45,0.311,False
FOMC,GBPUSD,前日,S,26,9,0.346,-19.22,0.9622406512498856,14,7,2.06,45,0.378,False
FOMC,USDJPY,前日,L,26,9,0.346,-29.27,0.9622406512498856,14,7,0.36,45,0.422,False
FOMC,XAUUSD,前日,S,26,9,0.346,-13.92,0.9622406512498856,9,6,4.74,6,0.5,False
BoJ,USDJPY,当日,S,26,9,0.346,-11.21,0.9622406512498856,13,6,-2.67,46,0.717,False
BoJ,GBPUSD,前日,L,26,9,0.346,-4.08,0.9622406512498856,13,6,-8.59,45,0.4,False
BoJ,USDCHF,前日,L,26,9,0.346,-17.43,0.9622406512498856,13,8,8.27,45,0.489,False
BoJ,CHFJPY,前日,S,26,9,0.346,-27.19,0.9622406512498856,8,3,-0.17,45,0.511,False
BoJ,NZDUSD,当日,L,26,9,0.346,-13.73,0.9622406512498856,13,4,-21.41,46,0.457,False
BoJ,AUDUSD,当日,L,26,9,0.346,-18.5,0.9622406512498856,13,2,-16.28,46,0.457,False
BoJ,EURJPY,翌日,L,14,4,0.286,-25.82,0.9713134765625,8,2,-21.87,34,0.471,False
BoJ,USDJPY,翌日,L,14,4,0.286,-23.7,0.9713134765625,8,6,-13.71,34,0.412,False
CPI,XAUUSD,翌日,S,39,14,0.359,-22.47,0.9733740429510362,11,4,-28.06,9,0.444,False
CPI,NZDUSD,前日,S,39,14,0.359,-8.87,0.9733740429510362,19,9,-8.5,69,0.377,False
CPI,USDCHF,当日,S,37,13,0.351,-4.79,0.976484486280242,16,8,26.67,55,0.527,False
FOMC,EURUSD,前日,S,26,8,0.308,-15.05,0.9855203628540039,14,10,7.26,45,0.333,False
BoJ,EURGBP,当日,L,26,8,0.308,-10.6,0.9855203628540039,8,3,-1.99,46,0.5,False
FOMC,EURGBP,前日,L,26,8,0.308,-12.2,0.9855203628540039,9,3,-9.93,45,0.356,False
BoJ,XAUUSD,翌日,L,26,8,0.308,9.74,0.9855203628540039,8,1,10.28,6,0.167,False
NFP,EURGBP,前日,L,36,12,0.333,0.61,0.9855916401720606,10,6,11.19,64,0.406,False
CPI,XAUUSD,前日,S,39,13,0.333,-17.79,0.9881486487647635,11,5,-11.06,9,0.667,False
CPI,USDJPY,前日,S,39,13,0.333,-2.92,0.9881486487647635,19,3,-28.92,69,0.493,False
CPI,EURJPY,前日,S,39,13,0.333,-15.09,0.9881486487647635,19,5,-27.27,69,0.493,False
CPI,GBPUSD,翌日,L,27,8,0.296,-5.74,0.9904213547706604,13,5,-3.22,39,0.513,False
CPI,GBPUSD,前日,S,39,12,0.308,-18.64,0.9952623478602618,19,10,-11.08,69,0.435,False
CPI,EURUSD,前日,S,39,12,0.308,-15.16,0.9952623478602618,19,12,-1.25,69,0.435,False
CPI,USDCHF,前日,L,39,12,0.308,-14.73,0.9952623478602618,19,11,1.13,69,0.478,False
FOMC,AUDUSD,前日,S,26,7,0.269,-31.69,0.9953223466873169,14,8,10.07,45,0.333,False
BoJ,EURUSD,当日,L,26,7,0.269,-11.84,0.9953223466873169,13,5,-2.22,46,0.5,False
CPI,AUDUSD,前日,S,39,11,0.282,-16.62,0.9983110760440468,19,11,-11.79,69,0.362,False
BoJ,XAUUSD,翌日,S,26,6,0.231,-19.74,0.9987530410289764,8,4,-20.28,6,0.333,False
CPI,CHFJPY,前日,S,39,10,0.256,-14.3,0.9994674901827239,11,1,-39.21,69,0.522,False
NFP,NZDUSD,当日,S,0,0,,,1.0,5,3,-13.52,1,1.0,False
NFP,NZDUSD,当日,L,0,0,,,1.0,5,2,3.23,1,0.0,False
NFP,EURGBP,翌日,L,0,0,,,1.0,1,0,-52.23,0,,False
NFP,EURGBP,翌日,S,0,0,,,1.0,1,1,45.41,0,,False
NFP,EURGBP,当日,L,0,0,,,1.0,3,1,-1.39,1,0.0,False
NFP,EURGBP,当日,S,0,0,,,1.0,3,2,-5.48,1,0.0,False
NFP,NZDUSD,翌日,S,0,0,,,1.0,2,2,42.26,0,,False
NFP,NZDUSD,翌日,L,0,0,,,1.0,2,0,-52.39,0,,False
NFP,CHFJPY,当日,S,0,0,,,1.0,3,1,-9.6,1,1.0,False
NFP,CHFJPY,当日,L,0,0,,,1.0,3,2,6.45,1,0.0,False
NFP,USDCHF,当日,S,0,0,,,1.0,5,2,-0.47,1,0.0,False
NFP,USDCHF,当日,L,0,0,,,1.0,5,3,-7.09,1,1.0,False
NFP,CHFJPY,翌日,S,0,0,,,1.0,1,0,-27.33,0,,False
NFP,CHFJPY,翌日,L,0,0,,,1.0,1,1,24.26,0,,False
NFP,USDJPY,翌日,S,0,0,,,1.0,2,1,1.11,0,,False
NFP,USDJPY,翌日,L,0,0,,,1.0,2,1,-5.0,0,,False
NFP,USDCHF,翌日,L,0,0,,,1.0,2,0,-10.13,0,,False
NFP,USDCHF,翌日,S,0,0,,,1.0,2,2,2.46,0,,False
NFP,AUDUSD,翌日,L,0,0,,,1.0,2,0,-66.86,0,,False
NFP,AUDUSD,翌日,S,0,0,,,1.0,2,2,58.12,0,,False
NFP,AUDUSD,当日,S,0,0,,,1.0,5,3,-3.84,1,0.0,False
NFP,AUDUSD,当日,L,0,0,,,1.0,5,2,-5.07,1,1.0,False
NFP,EURUSD,翌日,L,0,0,,,1.0,2,0,-12.72,0,,False
NFP,EURUSD,翌日,S,0,0,,,1.0,2,2,7.63,0,,False
NFP,EURUSD,当日,L,0,0,,,1.0,5,2,-7.96,1,0.0,False
NFP,EURUSD,当日,S,0,0,,,1.0,5,3,2.82,1,1.0,False
NFP,USDJPY,当日,L,0,0,,,1.0,5,3,1.08,1,1.0,False
NFP,USDJPY,当日,S,0,0,,,1.0,5,2,-4.97,1,0.0,False
NFP,GBPUSD,翌日,S,0,0,,,1.0,2,1,-13.08,0,,False
NFP,GBPUSD,翌日,L,0,0,,,1.0,2,1,8.63,0,,False
NFP,GBPUSD,当日,L,0,0,,,1.0,5,2,-12.8,1,0.0,False
NFP,GBPUSD,当日,S,0,0,,,1.0,5,3,8.33,1,1.0,False
NFP,XAUUSD,翌日,S,39,0,0.0,-5.0,1.0,11,0,-5.84,9,0.0,False
NFP,XAUUSD,翌日,L,39,0,0.0,-5.0,1.0,11,2,-4.16,9,0.0,False
NFP,EURJPY,当日,L,0,0,,,1.0,5,3,-3.93,1,0.0,False
NFP,EURJPY,当日,S,0,0,,,1.0,5,2,0.59,1,1.0,False
NFP,EURJPY,翌日,L,0,0,,,1.0,2,1,-14.82,0,,False
NFP,EURJPY,翌日,S,0,0,,,1.0,2,1,11.53,0,,False
