AtrSLMult,RR,HoldH4Bars,Strategy,Donch,TrendEma,n,PF,OOS_n,OOS_PF,Lookback,NRwin
2.0,1.5,60,tsmom,,200,19605,1.013,4902,1.083,20.0,
2.0,1.5,40,tsmom,,200,19605,1.01,4902,1.083,20.0,
2.0,3.0,40,donchian,40.0,100,3794,1.046,950,1.082,,
2.0,1.5,24,tsmom,,200,19119,1.031,4781,1.081,10.0,
2.0,1.5,60,tsmom,,200,19119,1.03,4781,1.081,10.0,
2.0,3.0,60,tsmom,,200,19605,1.038,4902,1.08,20.0,
2.0,1.5,24,tsmom,,200,19605,1.003,4902,1.077,20.0,
2.0,3.0,24,tsmom,,200,20748,1.04,5188,1.076,40.0,
2.0,2.0,60,tsmom,,200,19605,1.021,4902,1.076,20.0,
2.0,1.5,24,donchian,55.0,200,3070,1.083,768,1.074,,
2.0,1.5,24,tsmom,,200,20748,1.014,5188,1.072,40.0,
2.0,1.5,60,tsmom,,200,20748,1.013,5188,1.061,40.0,
2.0,1.5,24,donchian,30.0,200,3847,1.053,963,1.06,,
2.0,1.5,60,tsmom,,50,23302,1.016,5827,1.06,20.0,
2.0,2.0,12,donchian,20.0,200,4445,1.085,1113,1.058,,
2.0,3.0,24,tsmom,,200,19119,1.054,4781,1.058,10.0,
2.0,2.0,12,volbreak,,0,3041,1.001,761,1.056,,10.0
2.0,2.0,40,donchian,30.0,100,4298,1.027,1076,1.055,,
2.0,3.0,60,tsmom,,100,22718,1.039,5681,1.054,40.0,
2.0,3.0,24,tsmom,,200,19605,1.02,4902,1.053,20.0,
2.0,1.5,12,donchian,55.0,200,3070,1.111,768,1.052,,
2.0,2.0,40,donchian,30.0,0,4521,1.032,1132,1.052,,
2.0,1.5,24,tsmom,,50,23302,1.009,5827,1.052,20.0,
2.0,1.5,40,tsmom,,200,20748,1.005,5188,1.052,40.0,
2.0,1.5,24,donchian,20.0,100,5025,1.034,1257,1.05,,
2.0,2.0,12,volbreak,,0,1596,1.007,400,1.05,,20.0
2.0,1.5,40,tsmom,,50,23302,1.012,5827,1.049,20.0,
2.0,3.0,12,volbreak,,0,1596,1.003,400,1.049,,20.0
2.0,3.0,12,volbreak,,0,3041,0.992,761,1.049,,10.0
2.0,1.5,40,donchian,30.0,100,4298,1.04,1076,1.046,,
2.0,2.0,24,tsmom,,50,23483,1.037,5872,1.046,40.0,
2.0,1.5,24,tsmom,,50,22316,1.032,5581,1.045,10.0,
2.0,1.5,60,tsmom,,50,22316,1.032,5581,1.045,10.0,
2.0,2.0,24,tsmom,,50,23302,1.02,5827,1.044,20.0,
2.0,3.0,12,donchian,20.0,200,4445,1.096,1113,1.041,,
2.0,3.0,40,donchian,20.0,100,5025,1.043,1257,1.04,,
2.0,2.0,40,tsmom,,50,23302,1.015,5827,1.04,20.0,
2.0,1.5,40,donchian,30.0,0,4521,1.042,1132,1.039,,
2.0,2.0,24,tsmom,,100,22718,1.025,5681,1.038,40.0,
2.0,1.5,24,donchian,40.0,200,3467,1.044,868,1.037,,
2.0,1.5,40,tsmom,,50,22316,1.026,5581,1.037,10.0,
2.0,1.5,60,tsmom,,100,21534,1.009,5385,1.037,20.0,
2.0,2.0,60,tsmom,,50,23302,1.016,5827,1.036,20.0,
2.0,1.5,12,donchian,30.0,200,3847,1.063,963,1.034,,
2.0,3.0,40,donchian,20.0,0,5585,1.048,1397,1.034,,
2.0,2.0,24,tsmom,,50,22316,1.041,5581,1.034,10.0,
2.0,2.0,60,tsmom,,100,22718,1.016,5681,1.033,40.0,
2.0,3.0,60,tsmom,,50,23483,1.047,5872,1.031,40.0,
2.0,1.5,24,tsmom,,50,23483,1.021,5872,1.031,40.0,
2.0,2.0,40,tsmom,,100,21534,1.012,5385,1.031,20.0,
2.0,1.5,24,donchian,20.0,0,5585,1.033,1397,1.029,,
2.0,3.0,40,tsmom,,100,22718,1.026,5681,1.029,40.0,
2.0,1.5,40,tsmom,,100,21534,1.006,5385,1.029,20.0,
2.0,2.0,60,tsmom,,50,23483,1.03,5872,1.028,40.0,
2.0,1.5,24,tsmom,,100,21534,1.002,5385,1.028,20.0,
2.0,2.0,40,tsmom,,50,22316,1.027,5581,1.027,10.0,
2.0,2.0,40,tsmom,,100,20647,1.027,5163,1.027,10.0,
2.0,2.0,24,tsmom,,100,21534,1.014,5385,1.027,20.0,
2.0,2.0,60,tsmom,,100,21534,1.01,5385,1.027,20.0,
2.0,1.5,12,donchian,20.0,100,5025,1.063,1257,1.025,,
2.0,2.0,40,tsmom,,100,22718,1.014,5681,1.025,40.0,
2.0,3.0,60,tsmom,,100,21534,1.03,5385,1.022,20.0,
2.0,1.5,60,tsmom,,50,23483,1.019,5872,1.022,40.0,
2.0,3.0,24,tsmom,,50,23483,1.037,5872,1.02,40.0,
2.0,2.0,60,tsmom,,50,22316,1.03,5581,1.02,10.0,
2.0,3.0,40,donchian,30.0,0,4521,1.039,1132,1.019,,
2.0,3.0,60,tsmom,,50,23302,1.028,5827,1.019,20.0,
2.0,2.0,12,volbreak,,100,1721,0.983,431,1.019,,10.0
2.0,3.0,40,tsmom,,100,20647,1.045,5163,1.018,10.0,
2.0,1.5,24,tsmom,,100,22718,1.006,5681,1.018,40.0,
2.0,1.5,12,donchian,40.0,200,3467,1.059,868,1.017,,
2.0,3.0,40,tsmom,,50,23302,1.021,5827,1.017,20.0,
2.0,3.0,60,tsmom,,100,20647,1.053,5163,1.016,10.0,
2.0,3.0,60,tsmom,,50,22316,1.05,5581,1.016,10.0,
2.0,2.0,40,tsmom,,50,23483,1.025,5872,1.016,40.0,
2.0,3.0,40,tsmom,,100,21534,1.023,5385,1.016,20.0,
2.0,1.5,40,tsmom,,100,20647,1.017,5163,1.016,10.0,
2.0,1.5,60,tsmom,,100,20647,1.023,5163,1.015,10.0,
2.0,1.5,60,tsmom,,100,22718,1.007,5681,1.015,40.0,
2.0,2.0,24,donchian,30.0,200,3847,1.064,963,1.014,,
2.0,2.0,24,tsmom,,100,20647,1.037,5163,1.014,10.0,
2.0,3.0,24,tsmom,,100,22718,1.028,5681,1.014,40.0,
2.0,3.0,40,donchian,30.0,100,4298,1.033,1076,1.013,,
2.0,1.5,24,tsmom,,100,20647,1.022,5163,1.013,10.0,
2.0,2.0,24,donchian,20.0,100,5025,1.037,1257,1.012,,
2.0,3.0,40,tsmom,,50,23483,1.035,5872,1.012,40.0,
2.0,1.5,24,donchian,55.0,100,3248,1.062,813,1.011,,
2.0,3.0,40,tsmom,,50,22316,1.041,5581,1.011,10.0,
2.0,1.5,24,donchian,55.0,0,3269,1.057,819,1.009,,
2.0,1.5,12,donchian,20.0,0,5585,1.065,1397,1.007,,
2.0,2.0,60,tsmom,,100,20647,1.025,5163,1.006,10.0,
2.0,3.0,12,volbreak,,100,1721,0.964,431,1.006,,10.0
2.0,3.0,24,tsmom,,50,23302,1.015,5827,1.005,20.0,
2.0,3.0,24,tsmom,,50,22316,1.043,5581,1.003,10.0,
2.0,1.5,40,tsmom,,50,23483,1.013,5872,1.003,40.0,
2.0,1.5,24,donchian,40.0,0,3872,1.014,969,1.001,,
2.0,1.5,12,donchian,55.0,100,3248,1.091,813,0.999,,
2.0,2.0,12,donchian,55.0,200,3070,1.104,768,0.998,,
2.0,1.5,40,tsmom,,100,22718,1.0,5681,0.998,40.0,
2.0,2.0,12,donchian,30.0,200,3847,1.062,963,0.997,,
2.0,1.5,12,donchian,55.0,0,3269,1.084,819,0.996,,
2.0,1.5,24,donchian,40.0,100,3794,1.015,950,0.993,,
2.0,3.0,24,tsmom,,100,21534,1.014,5385,0.993,20.0,
2.0,2.0,24,donchian,20.0,0,5585,1.036,1397,0.992,,
2.0,1.5,12,donchian,40.0,0,3872,1.039,969,0.99,,
2.0,2.0,24,donchian,55.0,200,3070,1.078,768,0.988,,
2.0,3.0,12,donchian,30.0,200,3847,1.07,963,0.988,,
2.0,3.0,24,tsmom,,100,20647,1.042,5163,0.986,10.0,
2.0,1.5,12,donchian,40.0,100,3794,1.041,950,0.984,,
2.0,2.0,12,donchian,20.0,100,5025,1.058,1257,0.983,,
2.0,3.0,12,donchian,55.0,200,3070,1.115,768,0.981,,
2.0,3.0,24,donchian,20.0,200,4445,1.049,1113,0.98,,
2.0,2.0,24,donchian,40.0,200,3467,1.052,868,0.976,,
2.0,2.0,12,donchian,40.0,200,3467,1.06,868,0.974,,
2.0,2.0,12,donchian,20.0,0,5585,1.061,1397,0.969,,
2.0,3.0,12,donchian,40.0,200,3467,1.068,868,0.967,,
2.0,1.5,24,donchian,30.0,100,4298,1.019,1076,0.962,,
2.0,1.5,24,donchian,30.0,0,4521,1.018,1132,0.962,,
2.0,3.0,12,donchian,20.0,100,5025,1.066,1257,0.959,,
2.0,2.0,12,donchian,40.0,0,3872,1.033,969,0.957,,
2.0,3.0,12,donchian,20.0,0,5585,1.069,1397,0.956,,
2.0,2.0,24,donchian,40.0,0,3872,1.013,969,0.95,,
2.0,2.0,12,donchian,40.0,100,3794,1.034,950,0.949,,
2.0,3.0,12,donchian,40.0,0,3872,1.038,969,0.948,,
2.0,2.0,12,donchian,55.0,0,3269,1.069,819,0.947,,
2.0,2.0,12,donchian,55.0,100,3248,1.075,813,0.946,,
2.0,1.5,12,donchian,30.0,100,4298,1.035,1076,0.945,,
2.0,3.0,12,donchian,55.0,0,3269,1.081,819,0.941,,
2.0,2.0,24,donchian,40.0,100,3794,1.014,950,0.94,,
2.0,3.0,12,donchian,40.0,100,3794,1.04,950,0.939,,
2.0,1.5,12,donchian,30.0,0,4521,1.036,1132,0.935,,
2.0,3.0,12,donchian,55.0,100,3248,1.087,813,0.934,,
2.0,2.0,24,donchian,55.0,100,3248,1.045,813,0.925,,
2.0,2.0,24,donchian,55.0,0,3269,1.041,819,0.925,,
2.0,2.0,24,donchian,30.0,0,4521,1.021,1132,0.923,,
2.0,2.0,24,donchian,30.0,100,4298,1.021,1076,0.919,,
2.0,3.0,24,donchian,20.0,0,5585,1.019,1397,0.916,,
2.0,3.0,24,donchian,20.0,100,5025,1.016,1257,0.912,,
2.0,2.0,12,donchian,30.0,100,4298,1.029,1076,0.909,,
2.0,3.0,24,donchian,30.0,200,3847,1.042,963,0.907,,
2.0,2.0,12,donchian,30.0,0,4521,1.031,1132,0.906,,
2.0,3.0,12,donchian,30.0,100,4298,1.036,1076,0.897,,
2.0,3.0,12,donchian,30.0,0,4521,1.035,1132,0.892,,
2.0,3.0,24,donchian,40.0,200,3467,1.039,868,0.879,,
2.0,3.0,24,donchian,40.0,0,3872,1.003,969,0.874,,
2.0,3.0,24,donchian,55.0,200,3070,1.066,768,0.863,,
2.0,3.0,24,donchian,40.0,100,3794,1.002,950,0.855,,
2.0,3.0,24,donchian,30.0,0,4521,1.003,1132,0.841,,
2.0,3.0,24,donchian,30.0,100,4298,1.003,1076,0.83,,
2.0,3.0,24,donchian,55.0,0,3269,1.034,819,0.823,,
2.0,3.0,24,donchian,55.0,100,3248,1.038,813,0.816,,
