legs,w,maxcorr,roll,cagr,cum,dd,wm,wd,pos,sh,yrs,calmar
Mon GBPJPY + Mon GBPUSD + Roll GBPJPY,0.17 / 0.19 / 0.64,0.47,True,3.0,15.7,-1.1,-0.4,-0.48,43/59,2.41,2022:+1.6 2023:+4.3 2024:+2.4 2025:+3.8 2026:+2.4,2.73
Mon GBPJPY + Mon GBPUSD + Roll USDJPY,0.20 / 0.22 / 0.57,0.47,True,3.2,16.6,-1.2,-0.4,-0.56,43/59,2.16,2022:+1.1 2023:+4.8 2024:+2.3 2025:+4.7 2026:+2.4,2.67
Mon GBPJPY + Mon GBPUSD + TSMOM XAUUSD,0.44 / 0.48 / 0.09,0.47,False,4.9,26.8,-4.0,-1.3,-1.12,39/58,1.56,2022:+2.1 2023:+4.1 2024:+3.6 2025:+8.8 2026:+5.6,1.23
Mon GBPJPY + Mon GBPUSD + v4 AUDUSD,0.34 / 0.37 / 0.29,0.47,False,3.9,20.6,-2.0,-0.7,-0.92,47/58,1.64,2022:+2.1 2023:+6.6 2024:+0.5 2025:+4.9 2026:+4.1,1.95
Mon GBPJPY + Mon GER40 + Mon NAS100,0.54 / 0.25 / 0.21,0.39,False,6.6,36.6,-3.0,-1.3,-1.53,43/58,1.59,2022:+7.3 2023:+5.5 2024:+4.3 2025:+7.0 2026:+6.2,2.2
Mon GBPJPY + Mon GER40 + Mon NZDJPY,0.43 / 0.20 / 0.38,0.71,False,5.4,29.6,-3.1,-1.2,-1.3,36/58,1.53,2022:+4.9 2023:+5.6 2024:+2.3 2025:+5.4 2026:+6.5,1.74
Mon GBPJPY + Mon GER40 + Mon US500,0.49 / 0.22 / 0.29,0.45,False,5.7,31.2,-4.0,-1.4,-1.4,39/58,1.48,2022:+4.9 2023:+5.3 2024:+3.5 2025:+6.6 2026:+6.0,1.42
Mon GBPJPY + Mon GER40 + Mon USDJPY,0.40 / 0.19 / 0.41,0.57,False,4.8,25.7,-2.3,-1.6,-1.34,39/58,1.54,2022:+7.4 2023:+3.4 2024:+3.5 2025:+2.9 2026:+4.1,2.09
Mon GBPJPY + Mon GER40 + Roll AUDJPY,0.25 / 0.12 / 0.64,0.18,True,3.2,16.7,-1.3,-0.7,-0.71,40/59,1.93,2022:+2.5 2023:+3.2 2024:+2.3 2025:+4.1 2026:+3.0,2.46
Mon GBPJPY + Mon GER40 + Roll CADJPY,0.20 / 0.09 / 0.70,0.18,True,2.8,14.8,-1.2,-0.6,-0.58,42/58,2.09,2022:+1.6 2023:+3.6 2024:+2.7 2025:+3.3 2026:+2.2,2.33
Mon GBPJPY + Mon GER40 + Roll EURJPY,0.18 / 0.09 / 0.73,0.18,True,2.7,14.1,-1.0,-0.5,-0.52,43/59,2.23,2022:+1.7 2023:+3.1 2024:+2.7 2025:+3.3 2026:+2.0,2.7
Mon GBPJPY + Mon GER40 + Roll GBPJPY,0.20 / 0.09 / 0.71,0.18,True,3.3,17.3,-1.0,-0.6,-0.56,46/59,2.55,2022:+2.2 2023:+3.7 2024:+3.3 2025:+3.8 2026:+2.6,3.3
Mon GBPJPY + Mon GER40 + Roll USDJPY,0.23 / 0.11 / 0.66,0.18,True,3.5,18.7,-1.4,-0.7,-0.67,42/59,2.28,2022:+1.8 2023:+4.2 2024:+3.3 2025:+4.8 2026:+2.7,2.5
Mon GBPJPY + Mon GER40 + TSMOM XAUUSD,0.60 / 0.28 / 0.12,0.18,False,6.6,36.9,-4.4,-2.4,-1.7,42/58,1.68,2022:+4.2 2023:+2.3 2024:+6.7 2025:+10.9 2026:+7.5,1.5
Mon GBPJPY + Mon GER40 + v4 AUDUSD,0.43 / 0.20 / 0.37,0.18,False,4.8,25.8,-1.7,-0.8,-1.21,41/58,1.71,2022:+3.6 2023:+6.0 2024:+1.8 2025:+5.2 2026:+5.1,2.82
Mon GBPJPY + Mon NAS100 + Mon NZDJPY,0.44 / 0.17 / 0.39,0.71,False,6.1,33.5,-3.0,-1.0,-1.37,41/58,1.66,2022:+7.2 2023:+8.8 2024:+2.2 2025:+4.9 2026:+4.6,2.03
Mon GBPJPY + Mon NAS100 + Mon US500,0.50 / 0.20 / 0.30,0.93,False,6.4,35.7,-3.9,-1.7,-1.85,41/58,1.48,2022:+7.5 2023:+9.0 2024:+3.4 2025:+6.1 2026:+3.8,1.64
Mon GBPJPY + Mon NAS100 + Mon USDJPY,0.41 / 0.16 / 0.42,0.57,False,5.4,29.2,-2.6,-1.0,-1.15,45/58,1.68,2022:+9.7 2023:+6.4 2024:+3.5 2025:+2.3 2026:+2.3,2.08
Mon GBPJPY + Mon NAS100 + Roll AUDJPY,0.25 / 0.10 / 0.65,0.12,True,3.5,18.5,-1.2,-0.7,-0.5,43/59,2.13,2022:+3.8 2023:+5.0 2024:+2.2 2025:+3.7 2026:+1.9,2.92
Mon GBPJPY + Mon NAS100 + Roll CADJPY,0.21 / 0.08 / 0.71,0.12,True,3.1,16.2,-1.0,-0.6,-0.41,42/58,2.29,2022:+2.6 2023:+5.0 2024:+2.7 2025:+3.1 2026:+1.2,3.1
Mon GBPJPY + Mon NAS100 + Roll EURJPY,0.19 / 0.07 / 0.74,0.12,True,2.9,15.4,-0.9,-0.5,-0.37,44/59,2.43,2022:+2.6 2023:+4.4 2024:+2.7 2025:+3.0 2026:+1.2,3.22
Mon GBPJPY + Mon NAS100 + Roll GBPJPY,0.20 / 0.08 / 0.72,0.12,True,3.6,18.8,-0.9,-0.5,-0.39,47/59,2.76,2022:+3.2 2023:+5.1 2024:+3.3 2025:+3.6 2026:+1.8,4.0
Mon GBPJPY + Mon NAS100 + Roll USDJPY,0.24 / 0.09 / 0.67,0.12,True,3.9,20.5,-1.3,-0.6,-0.47,42/59,2.48,2022:+2.9 2023:+5.9 2024:+3.2 2025:+4.6 2026:+1.7,3.0
Mon GBPJPY + Mon NAS100 + TSMOM XAUUSD,0.63 / 0.25 / 0.13,0.12,False,7.6,43.3,-2.8,-1.0,-1.46,45/58,1.89,2022:+7.4 2023:+6.7 2024:+6.8 2025:+10.4 2026:+4.8,2.71
Mon GBPJPY + Mon NAS100 + v4 AUDUSD,0.44 / 0.17 / 0.38,0.12,False,5.4,29.5,-2.2,-1.2,-0.86,48/58,1.91,2022:+5.8 2023:+9.3 2024:+1.7 2025:+4.7 2026:+3.1,2.45
Mon GBPJPY + Mon NZDJPY + Mon US500,0.40 / 0.36 / 0.24,0.71,False,5.4,29.3,-2.7,-1.0,-1.6,42/58,1.55,2022:+5.2 2023:+8.4 2024:+1.7 2025:+4.7 2026:+4.5,2.0
Mon GBPJPY + Mon NZDJPY + Mon USDJPY,0.34 / 0.30 / 0.35,0.71,False,4.6,24.9,-2.1,-1.0,-1.12,42/58,1.45,2022:+7.3 2023:+6.3 2024:+2.0 2025:+1.8 2026:+3.1,2.19
Mon GBPJPY + Mon NZDJPY + Roll AUDJPY,0.23 / 0.20 / 0.58,0.71,True,3.3,17.1,-0.9,-0.5,-0.63,39/59,1.9,2022:+2.9 2023:+5.1 2024:+1.4 2025:+3.2 2026:+2.5,3.67
Mon GBPJPY + Mon NZDJPY + Roll CADJPY,0.19 / 0.17 / 0.65,0.71,True,2.9,15.2,-1.1,-0.4,-0.52,40/58,2.04,2022:+2.0 2023:+5.1 2024:+1.9 2025:+2.7 2026:+1.8,2.64
Mon GBPJPY + Mon NZDJPY + Roll EURJPY,0.17 / 0.15 / 0.68,0.71,True,2.8,14.5,-0.7,-0.4,-0.47,39/59,2.15,2022:+2.1 2023:+4.6 2024:+2.0 2025:+2.7 2026:+1.7,4.0
Mon GBPJPY + Mon NZDJPY + Roll GBPJPY,0.18 / 0.16 / 0.66,0.71,True,3.3,17.6,-0.8,-0.3,-0.5,44/59,2.43,2022:+2.6 2023:+5.2 2024:+2.5 2025:+3.2 2026:+2.2,4.12
Mon GBPJPY + Mon NZDJPY + Roll USDJPY,0.21 / 0.19 / 0.60,0.71,True,3.6,18.8,-1.1,-0.4,-0.59,45/59,2.2,2022:+2.2 2023:+5.9 2024:+2.3 2025:+4.0 2026:+2.2,3.27
Mon GBPJPY + Mon NZDJPY + TSMOM XAUUSD,0.48 / 0.42 / 0.10,0.71,False,6.1,33.5,-3.1,-1.2,-1.19,38/58,1.66,2022:+4.7 2023:+6.5 2024:+3.9 2025:+7.7 2026:+5.4,1.97
Mon GBPJPY + Mon NZDJPY + v4 AUDUSD,0.36 / 0.32 / 0.32,0.71,False,4.6,24.9,-2.3,-0.8,-1.01,42/58,1.7,2022:+4.1 2023:+8.7 2024:+0.5 2025:+3.7 2026:+3.9,2.0
Mon GBPJPY + Mon US500 + Mon USDJPY,0.38 / 0.23 / 0.39,0.57,False,4.8,25.7,-2.3,-1.0,-1.2,46/58,1.59,2022:+7.6 2023:+6.2 2024:+2.9 2025:+2.4 2026:+2.4,2.09
Mon GBPJPY + Mon US500 + Roll AUDJPY,0.24 / 0.14 / 0.62,0.22,True,3.2,17.0,-1.2,-0.7,-0.65,42/59,2.0,2022:+2.8 2023:+4.9 2024:+1.9 2025:+3.7 2026:+2.0,2.67
Mon GBPJPY + Mon US500 + Roll CADJPY,0.20 / 0.12 / 0.68,0.22,True,2.9,15.0,-1.1,-0.6,-0.54,42/58,2.16,2022:+1.9 2023:+5.0 2024:+2.4 2025:+3.1 2026:+1.3,2.64
Mon GBPJPY + Mon US500 + Roll EURJPY,0.18 / 0.11 / 0.71,0.22,True,2.8,14.3,-0.8,-0.5,-0.48,43/59,2.29,2022:+1.9 2023:+4.4 2024:+2.4 2025:+3.0 2026:+1.3,3.5
Mon GBPJPY + Mon US500 + Roll GBPJPY,0.19 / 0.11 / 0.70,0.22,True,3.3,17.5,-0.8,-0.5,-0.51,46/59,2.61,2022:+2.5 2023:+5.1 2024:+3.0 2025:+3.5 2026:+1.8,4.12
Mon GBPJPY + Mon US500 + Roll USDJPY,0.23 / 0.14 / 0.64,0.22,True,3.6,18.9,-1.5,-0.6,-0.61,43/59,2.34,2022:+2.1 2023:+5.8 2024:+2.9 2025:+4.5 2026:+1.7,2.4
Mon GBPJPY + Mon US500 + TSMOM XAUUSD,0.56 / 0.33 / 0.11,0.22,False,6.5,36.1,-2.8,-1.1,-1.3,44/58,1.77,2022:+4.7 2023:+6.4 2024:+5.5 2025:+9.6 2026:+4.7,2.32
Mon GBPJPY + Mon US500 + v4 AUDUSD,0.41 / 0.24 / 0.35,0.22,False,4.8,25.7,-2.4,-1.2,-1.09,47/58,1.77,2022:+4.0 2023:+8.8 2024:+1.2 2025:+4.6 2026:+3.2,2.0
Mon GBPJPY + Mon USDJPY + Roll AUDJPY,0.22 / 0.22 / 0.56,0.57,True,3.0,15.5,-0.9,-0.5,-0.46,41/59,1.85,2022:+4.3 2023:+3.9 2024:+2.1 2025:+2.0 2026:+1.4,3.33
Mon GBPJPY + Mon USDJPY + Roll CADJPY,0.18 / 0.19 / 0.63,0.57,True,2.7,13.9,-0.9,-0.4,-0.39,40/58,2.0,2022:+3.2 2023:+4.1 2024:+2.5 2025:+1.7 2026:+0.9,3.0
Mon GBPJPY + Mon USDJPY + Roll EURJPY,0.17 / 0.17 / 0.66,0.57,True,2.6,13.4,-0.7,-0.4,-0.35,44/59,2.12,2022:+3.1 2023:+3.7 2024:+2.5 2025:+1.8 2026:+0.9,3.71
