t,open,high,low,close,volume
2026-08-09 21:00:00,113.005,113.043,112.918,113.013,796.6500244140625
2026-08-09 22:00:00,113.013,113.262,113.006,113.244,3030.300048828125
2026-08-09 23:00:00,113.244,113.251,113.158,113.177,5961.75
2026-08-10 00:00:00,113.178,113.245,113.148,113.231,13943.849609375
2026-08-10 01:00:00,113.232,113.472,113.205,113.443,15018.6904296875
2026-08-10 02:00:00,113.442,113.457,113.373,113.377,7149.2998046875
2026-08-10 03:00:00,113.376,113.378,113.285,113.311,7849.9501953125
2026-08-10 04:00:00,113.312,113.424,113.311,113.42,6794.25
2026-08-10 05:00:00,113.422,113.451,113.401,113.446,11050.9501953125
2026-08-10 06:00:00,113.446,113.543,113.441,113.503,12892.3798828125
2026-08-10 07:00:00,113.504,113.685,113.496,113.677,15088.349609375
2026-08-10 08:00:00,113.677,113.846,113.632,113.82,14981.849609375
2026-08-10 09:00:00,113.819,113.949,113.805,113.929,7154.85009765625
2026-08-10 10:00:00,113.929,113.95,113.837,113.912,8960.669921875
2026-08-10 11:00:00,113.911,113.962,113.897,113.932,9458.5498046875
2026-08-10 12:00:00,113.931,113.968,113.65,113.957,15778.7998046875
2026-08-10 13:00:00,113.956,114.004,113.863,113.988,15838.650390625
2026-08-10 14:00:00,113.987,114.027,113.916,113.995,14723.73046875
2026-08-10 15:00:00,113.995,114.105,113.952,114.089,12758.099609375
2026-08-10 16:00:00,114.088,114.157,114.076,114.14,8462.91015625
2026-08-10 17:00:00,114.141,114.179,114.089,114.118,7769.009765625
2026-08-10 18:00:00,114.118,114.313,114.101,114.215,8053.52978515625
2026-08-10 19:00:00,114.217,114.348,114.201,114.285,7473.2998046875
2026-08-10 20:00:00,114.284,114.323,114.257,114.259,4419.33984375
2026-08-10 21:00:00,114.206,114.246,114.038,114.214,2016.449951171875
2026-08-10 22:00:00,114.214,114.283,114.202,114.256,2443.199951171875
2026-08-10 23:00:00,114.255,114.287,114.201,114.221,3584.550048828125
2026-08-11 00:00:00,114.221,114.264,114.087,114.228,13197.7197265625
2026-08-11 01:00:00,114.228,114.253,114.175,114.246,8955.509765625
2026-08-11 02:00:00,114.246,114.322,114.236,114.291,8545.4697265625
2026-08-11 03:00:00,114.291,114.298,114.239,114.278,6866.7001953125
2026-08-11 04:00:00,114.278,114.306,114.255,114.273,8247.4501953125
2026-08-11 05:00:00,114.273,114.307,114.244,114.303,7291.2001953125
2026-08-11 06:00:00,114.303,114.304,114.248,114.271,13888.919921875
2026-08-11 07:00:00,114.269,114.339,114.267,114.284,10480.41015625
2026-08-11 08:00:00,114.285,114.372,114.245,114.364,8305.6201171875
2026-08-11 09:00:00,114.365,114.388,114.314,114.324,7071.66015625
2026-08-11 10:00:00,114.323,114.365,114.26,114.288,7515.22998046875
2026-08-11 11:00:00,114.289,114.297,114.157,114.247,13349.73046875
2026-08-11 12:00:00,114.245,114.348,114.216,114.304,12308.669921875
2026-08-11 13:00:00,114.305,114.305,114.214,114.245,9453.150390625
2026-08-11 14:00:00,114.245,114.353,114.244,114.337,7503.08984375
2026-08-11 15:00:00,114.338,114.393,114.278,114.371,9265.9501953125
2026-08-11 16:00:00,114.371,114.444,114.341,114.443,6942.75
2026-08-11 17:00:00,114.444,114.472,114.418,114.429,5949.60009765625
2026-08-11 18:00:00,114.43,114.471,114.414,114.418,4269.4501953125
2026-08-11 19:00:00,114.417,114.435,114.386,114.391,3589.5
2026-08-11 20:00:00,114.39,114.439,114.358,114.376,3514.050048828125
2026-08-11 21:00:00,114.326,114.386,114.257,114.381,1104.75
2026-08-11 22:00:00,114.379,114.43,114.374,114.42,1814.25
2026-08-11 23:00:00,114.42,114.429,114.393,114.413,1747.949951171875
2026-08-12 00:00:00,114.416,114.464,114.369,114.444,9898.1396484375
2026-08-12 01:00:00,114.444,114.464,114.379,114.393,7526.009765625
2026-08-12 02:00:00,114.391,114.463,114.386,114.45,6985.9501953125
2026-08-12 03:00:00,114.451,114.493,114.45,114.46,4889.39990234375
2026-08-12 04:00:00,114.46,114.469,114.409,114.434,4993.9501953125
2026-08-12 05:00:00,114.434,114.442,114.355,114.428,6540.990234375
2026-08-12 06:00:00,114.429,114.445,114.389,114.418,10505.400390625
2026-08-12 07:00:00,114.42,114.426,114.352,114.412,6985.5
2026-08-12 08:00:00,114.413,114.414,114.343,114.359,7149.1201171875
2026-08-12 09:00:00,114.358,114.369,113.845,114.203,14470.6201171875
2026-08-12 10:00:00,114.202,114.257,114.184,114.246,7775.0400390625
2026-08-12 11:00:00,114.244,114.246,114.161,114.241,6908.7001953125
2026-08-12 12:00:00,114.242,114.306,114.034,114.153,24991.169921875
2026-08-12 13:00:00,114.154,114.292,114.075,114.286,21173.150390625
2026-08-12 14:00:00,114.286,114.391,114.273,114.346,15416.8798828125
2026-08-12 15:00:00,114.345,114.423,114.335,114.384,8973.0
2026-08-12 16:00:00,114.384,114.389,114.322,114.327,6703.14013671875
2026-08-12 17:00:00,114.326,114.388,114.285,114.377,6982.9501953125
2026-08-12 18:00:00,114.376,114.417,114.36,114.364,5933.7001953125
2026-08-12 19:00:00,114.365,114.415,114.345,114.408,8672.1904296875
2026-08-12 20:00:00,114.408,114.423,114.324,114.325,6235.830078125
2026-08-12 21:00:00,114.325,114.378,114.3,114.346,1825.9200439453125
2026-08-12 22:00:00,114.344,114.374,114.34,114.346,1644.9000244140625
2026-08-12 23:00:00,114.346,114.346,114.291,114.299,3367.64990234375
2026-08-13 00:00:00,114.3,114.341,114.257,114.306,12637.349609375
2026-08-13 01:00:00,114.305,114.305,114.251,114.277,9993.75
2026-08-13 02:00:00,114.276,114.336,114.269,114.318,6373.64990234375
2026-08-13 03:00:00,114.317,114.335,114.3,114.308,7291.5
2026-08-13 04:00:00,114.308,114.344,114.156,114.202,10078.650390625
2026-08-13 05:00:00,114.203,114.282,114.188,114.222,9947.099609375
2026-08-13 06:00:00,114.224,114.273,114.207,114.228,13139.759765625
2026-08-13 07:00:00,114.228,114.26,114.194,114.225,8947.830078125
2026-08-13 08:00:00,114.224,114.255,114.214,114.249,6726.5400390625
2026-08-13 09:00:00,114.249,114.326,114.24,114.323,6202.02001953125
2026-08-13 10:00:00,114.323,114.344,114.293,114.311,6720.75
2026-08-13 11:00:00,114.31,114.323,114.241,114.265,6516.509765625
2026-08-13 12:00:00,114.264,114.285,114.198,114.263,14213.4296875
2026-08-13 13:00:00,114.264,114.317,114.155,114.157,16978.5
2026-08-13 14:00:00,114.155,114.215,114.045,114.158,21626.73046875
2026-08-13 15:00:00,114.158,114.352,114.157,114.346,17639.609375
2026-08-13 16:00:00,114.346,114.491,114.34,114.484,11334.240234375
2026-08-13 17:00:00,114.485,114.52,114.462,114.475,11780.91015625
2026-08-13 18:00:00,114.476,114.477,114.421,114.473,13289.1904296875
2026-08-13 19:00:00,114.475,114.537,114.47,114.535,10520.2802734375
2026-08-13 20:00:00,114.535,114.554,114.473,114.473,6193.89013671875
2026-08-13 21:00:00,114.458,114.494,114.398,114.459,1479.510009765625
2026-08-13 22:00:00,114.463,114.501,114.463,114.48,2163.0
2026-08-13 23:00:00,114.478,114.5,114.47,114.472,2696.550048828125
2026-08-14 00:00:00,114.472,114.545,114.452,114.48,13015.2001953125
2026-08-14 01:00:00,114.481,114.49,114.444,114.469,11239.349609375
2026-08-14 02:00:00,114.47,114.494,114.457,114.48,7749.2998046875
2026-08-14 03:00:00,114.48,114.501,114.442,114.494,8078.0400390625
2026-08-14 04:00:00,114.493,114.495,114.467,114.487,6041.10009765625
2026-08-14 05:00:00,114.485,114.509,114.399,114.478,9374.3095703125
2026-08-14 06:00:00,114.477,114.545,114.41,114.537,10925.4296875
2026-08-14 07:00:00,114.537,114.654,114.53,114.622,10496.400390625
2026-08-14 08:00:00,114.622,114.631,114.496,114.581,11403.240234375
2026-08-14 09:00:00,114.581,114.6,114.54,114.582,11274.4501953125
2026-08-14 10:00:00,114.581,114.623,114.553,114.613,8178.4501953125
2026-08-14 11:00:00,114.612,114.657,114.579,114.615,10080.900390625
2026-08-14 12:00:00,114.614,114.647,114.351,114.486,23137.94921875
2026-08-14 13:00:00,114.485,114.636,114.478,114.602,21815.640625
2026-08-14 14:00:00,114.602,114.679,114.547,114.583,19701.150390625
2026-08-14 15:00:00,114.581,114.799,114.542,114.763,15676.2900390625
2026-08-14 16:00:00,114.763,114.882,114.758,114.876,10429.9501953125
2026-08-14 17:00:00,114.878,114.885,114.815,114.835,6684.75
2026-08-14 18:00:00,114.835,114.882,114.83,114.856,4628.85009765625
2026-08-14 19:00:00,114.856,114.884,114.835,114.843,5555.1298828125
2026-08-14 20:00:00,114.843,114.866,114.715,114.715,4868.490234375
2026-08-14 21:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-14 22:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-14 23:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 00:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 01:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 02:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 03:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 04:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 05:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 06:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 07:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 08:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 09:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 10:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 11:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 12:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 13:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 14:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 15:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 16:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 17:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 18:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 19:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 20:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 21:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 22:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-15 23:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-16 00:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-16 01:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-16 02:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-16 03:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-16 04:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-16 05:00:00,114.715,114.715,114.715,114.715,0.0
2026-08-16 06:00:00,114.715,114.715,114.715,114.715,0.0
